dataset: ../../48_6_layer_sentences_balanced_newline.txt
seed: 2395333166
sequence_length: 6
sentence_length: 6
n_classes: 53
embedding_dim: 16
feedforward_dim: 64
n_blocks: 2
n_heads: 2
k_dim: 4
v_dim: 4
batch_size: 64
n_epochs: 5000
learning_rate: 0.001

epoch, train_loss, test_loss, n_in_sample, n_out_of_sample, n_invalid
208 0.1973934918642044 3.2167396545410156 0 0 0
209 0.19529761373996735 3.2211036682128906 0 0 0
210 0.19327379763126373 3.226095199584961 0 0 0
211 0.1912582367658615 3.2306551933288574 0 0 0
212 0.18927060067653656 3.2348897457122803 0 0 0
213 0.18732154369354248 3.238762855529785 0 0 0
214 0.18539051711559296 3.2425999641418457 0 0 0
215 0.18348567187786102 3.2475361824035645 0 0 0
216 0.18158785998821259 3.251401901245117 0 0 0
217 0.1797361522912979 3.255199909210205 0 0 0
218 0.1779048889875412 3.2599849700927734 0 0 0
219 0.1761137843132019 3.2632594108581543 0 0 0
220 0.17432758212089539 3.267416477203369 0 0 0
221 0.17253345251083374 3.2716825008392334 0 0 0
222 0.1707567721605301 3.27609920501709 0 0 0
223 0.16902440786361694 3.280726671218872 0 0 0
224 0.16734038293361664 3.284777879714966 0 0 0
225 0.16565853357315063 3.288893938064575 0 0 0
226 0.1640169322490692 3.2926855087280273 0 0 0
227 0.16245514154434204 3.2976996898651123 0 0 0
228 0.160909503698349 3.300553321838379 0 0 0
229 0.15930965542793274 3.306077003479004 0 0 0
230 0.15770773589611053 3.3093435764312744 0 0 0
231 0.15615536272525787 3.31364369392395 0 0 0
232 0.1545666754245758 3.317704677581787 0 0 0
233 0.1529822051525116 3.3216118812561035 0 0 0
234 0.15153399109840393 3.3252062797546387 0 0 0
235 0.1501311957836151 3.329099178314209 0 0 0
236 0.14871717989444733 3.3330893516540527 0 0 0
237 0.14738282561302185 3.3359665870666504 0 0 0
238 0.14595068991184235 3.341432809829712 0 0 0
239 0.14455880224704742 3.344209671020508 0 0 0
240 0.14309734106063843 3.348646640777588 0 0 0
241 0.14167118072509766 3.3522491455078125 0 0 0
242 0.14029327034950256 3.356436014175415 0 0 0
243 0.13898877799510956 3.3599724769592285 0 0 0
244 0.137735053896904 3.362666606903076 0 0 0
245 0.1365409642457962 3.3667776584625244 0 0 0
246 0.1353328824043274 3.3707785606384277 0 0 0
247 0.13405713438987732 3.375080108642578 0 0 0
248 0.13279640674591064 3.3779120445251465 0 0 0
249 0.13153719902038574 3.3822970390319824 0 0 0
250 0.1303052306175232 3.386279821395874 0 0 0
251 0.12914139032363892 3.3897383213043213 0 0 0
252 0.12803034484386444 3.3932266235351562 0 0 0
253 0.12693504989147186 3.396129846572876 0 0 0
254 0.12584148347377777 3.400498151779175 0 0 0
255 0.12482087314128876 3.4040017127990723 0 0 0
256 0.1237015500664711 3.4079411029815674 0 0 0
257 0.12254967540502548 3.411726474761963 0 0 0
258 0.12141304463148117 3.4153823852539062 0 0 0
259 0.12033949047327042 3.4180943965911865 0 0 0
260 0.11932484060525894 3.421736001968384 0 0 0
261 0.11834694445133209 3.425431251525879 0 0 0
262 0.11739304661750793 3.428438425064087 0 0 0
263 0.11639801412820816 3.4325828552246094 0 0 0
264 0.11541533470153809 3.4358530044555664 0 0 0
265 0.11441000550985336 3.4399330615997314 0 0 0
266 0.11340691894292831 3.443319320678711 0 0 0
267 0.11244906485080719 3.446134567260742 0 0 0
268 0.11152195185422897 3.449483871459961 0 0 0
269 0.11062172055244446 3.452822208404541 0 0 0
270 0.10971637070178986 3.4560766220092773 0 0 0
271 0.10886425524950027 3.459226131439209 0 0 0
272 0.10803219676017761 3.4630985260009766 0 0 0
273 0.10717392712831497 3.4663846492767334 0 0 0
274 0.10631959140300751 3.4693424701690674 0 0 0
275 0.10547887533903122 3.4727365970611572 0 0 0
276 0.10462705790996552 3.4763970375061035 0 0 0
277 0.10378361493349075 3.4788427352905273 0 0 0
278 0.10294731706380844 3.4822843074798584 0 0 0
279 0.10213259607553482 3.4857592582702637 0 0 0
280 0.10135745257139206 3.488956928253174 0 0 0
281 0.1005958840250969 3.492032766342163 0 0 0
282 0.09983915090560913 3.49520206451416 0 0 0
283 0.09909189492464066 3.498781204223633 0 0 0
284 0.09835314750671387 3.501814842224121 0 0 0
285 0.09763352572917938 3.5046210289001465 0 0 0
286 0.0969257727265358 3.507857322692871 0 0 0
287 0.09620139002799988 3.5111465454101562 0 0 0
288 0.09548556804656982 3.513943910598755 0 0 0
289 0.09475934505462646 3.5170936584472656 0 0 0
290 0.0940449982881546 3.5200586318969727 0 0 0
291 0.09334868937730789 3.5233702659606934 0 0 0
292 0.09267367422580719 3.526538133621216 0 0 0
293 0.09202107042074203 3.5296521186828613 0 0 0
294 0.09139571338891983 3.53253436088562 0 0 0
295 0.09080356359481812 3.535184144973755 0 0 0
296 0.0902186930179596 3.538064956665039 0 0 0
297 0.0896763876080513 3.540985107421875 0 0 0
298 0.08911626785993576 3.543639659881592 0 0 0
299 0.08858820796012878 3.5462770462036133 0 0 0
300 0.08790380507707596 3.549574851989746 6493 348 3159
301 0.08715969324111938 3.5520384311676025 0 0 0
302 0.08639873564243317 3.554999351501465 0 0 0
303 0.08576863259077072 3.5583457946777344 0 0 0
304 0.08528092503547668 3.5614147186279297 0 0 0
305 0.0848199874162674 3.5644583702087402 0 0 0
306 0.08430486917495728 3.5674147605895996 0 0 0
307 0.08364711701869965 3.570348024368286 0 0 0
308 0.08298040926456451 3.573225498199463 0 0 0
309 0.08238787949085236 3.5755815505981445 0 0 0
310 0.08183273673057556 3.578618049621582 0 0 0
